timestamp,iteration,symbol,weight,allocation,quantity,price,expected_return
2025-11-09T09:28:48.835914+00:00,13,BTCUSDT,0.0,0.0,0.0,101914.43,-0.00532
2025-11-09T09:28:48.835914+00:00,13,ETHUSDT,0.4,400.0,0.11679719,3424.74,0.05
2025-11-09T09:28:48.835914+00:00,13,BNBUSDT,0.26438,264.38,0.2661101,993.5,0.05
2025-11-09T09:28:48.835914+00:00,13,SOLUSDT,0.0,0.0,0.0,159.07,-0.0179
2025-11-09T09:28:58.833410+00:00,14,BTCUSDT,0.0,0.0,0.0,101926.78,-0.00532
2025-11-09T09:28:58.833410+00:00,14,ETHUSDT,0.4,400.0,0.11680367,3424.55,0.05
2025-11-09T09:28:58.833410+00:00,14,BNBUSDT,0.26438,264.38,0.2661101,993.5,0.05
2025-11-09T09:28:58.833410+00:00,14,SOLUSDT,0.0,0.0,0.0,159.06,-0.01827
2025-11-09T09:29:08.835490+00:00,15,BTCUSDT,0.0,0.0,0.0,101916.57,-0.0056
2025-11-09T09:29:08.835490+00:00,15,ETHUSDT,0.4,400.0,0.11681765,3424.14,0.05
2025-11-09T09:29:08.835490+00:00,15,BNBUSDT,0.26438,264.38,0.266161,993.31,0.05
2025-11-09T09:29:08.835490+00:00,15,SOLUSDT,0.0,0.0,0.0,159.04,-0.01876
2025-11-09T09:29:18.828501+00:00,16,BTCUSDT,0.0,0.0,0.0,101899.45,-0.00576
2025-11-09T09:29:18.828501+00:00,16,ETHUSDT,0.4,400.0,0.11683574,3423.61,0.05
2025-11-09T09:29:18.828501+00:00,16,BNBUSDT,0.26438,264.38,0.26621728,993.1,0.05
2025-11-09T09:29:18.828501+00:00,16,SOLUSDT,0.0,0.0,0.0,158.94,-0.01919
2025-11-09T09:29:41.844650+00:00,17,BTCUSDT,0.0,0.0,0.0,101945.3,-0.00532
2025-11-09T09:29:41.844650+00:00,17,ETHUSDT,0.4,400.0,0.11681799,3424.13,0.05
2025-11-09T09:29:41.844650+00:00,17,BNBUSDT,0.26438,264.38,0.26613957,993.39,0.05
2025-11-09T09:29:41.844650+00:00,17,SOLUSDT,0.0,0.0,0.0,159.05,-0.01833
2025-11-09T09:29:48.837891+00:00,18,BTCUSDT,0.0,0.0,0.0,101962.81,-0.00515
